Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Occluded,On another road;Origin file;Origin frame number;Origin track;Origin track frame number
stop_1323812778.avi_image14.png;stop;503;208;530;233;0,0;vid1/vid_cmp1.avi;1921;stop_1323812778.avi;72
stop_1323812778.avi_image15.png;stop;519;200;549;228;0,0;vid1/vid_cmp1.avi;1926;stop_1323812778.avi;77
stop_1323812778.avi_image16.png;stop;541;192;572;221;0,0;vid1/vid_cmp1.avi;1931;stop_1323812778.avi;82
stop_1323812778.avi_image17.png;stop;560;184;593;216;0,0;vid1/vid_cmp1.avi;1936;stop_1323812778.avi;87
stop_1323812778.avi_image18.png;stop;584;177;621;212;0,0;vid1/vid_cmp1.avi;1941;stop_1323812778.avi;92
stop_1323812778.avi_image19.png;stop;608;166;650;204;0,0;vid1/vid_cmp1.avi;1946;stop_1323812778.avi;97
stop_1323812778.avi_image20.png;stop;637;155;681;197;0,0;vid1/vid_cmp1.avi;1951;stop_1323812778.avi;102
stop_1323812801.avi_image3.png;stop;507;220;539;248;0,0;vid1/vid_cmp1.avi;2387;stop_1323812801.avi;17
stop_1323812801.avi_image4.png;stop;531;219;562;248;0,0;vid1/vid_cmp1.avi;2392;stop_1323812801.avi;22
stop_1323812801.avi_image5.png;stop;556;220;589;255;0,0;vid1/vid_cmp1.avi;2397;stop_1323812801.avi;27
stop_1323812801.avi_image6.png;stop;586;217;623;254;0,0;vid1/vid_cmp1.avi;2402;stop_1323812801.avi;32
stop_1323812801.avi_image7.png;stop;617;210;660;249;0,0;vid1/vid_cmp1.avi;2407;stop_1323812801.avi;37
stop_1323812801.avi_image8.png;stop;658;203;703;247;0,0;vid1/vid_cmp1.avi;2412;stop_1323812801.avi;42
stop_1323812975.avi_image15.png;stop;517;204;544;228;0,0;vid1/vid_cmp1.avi;3357;stop_1323812975.avi;77
stop_1323812975.avi_image16.png;stop;530;199;559;225;0,0;vid1/vid_cmp1.avi;3362;stop_1323812975.avi;82
stop_1323812975.avi_image17.png;stop;545;193;575;221;0,0;vid1/vid_cmp1.avi;3367;stop_1323812975.avi;87
stop_1323812975.avi_image18.png;stop;563;189;596;220;0,0;vid1/vid_cmp1.avi;3372;stop_1323812975.avi;92
stop_1323812975.avi_image19.png;stop;583;184;618;217;0,0;vid1/vid_cmp1.avi;3377;stop_1323812975.avi;97
stop_1323812975.avi_image20.png;stop;606;173;644;209;0,0;vid1/vid_cmp1.avi;3382;stop_1323812975.avi;102
stop_1323812975.avi_image21.png;stop;632;163;674;203;0,0;vid1/vid_cmp1.avi;3387;stop_1323812975.avi;107
speedLimit_1323813035.avi_image1.png;schoolSpeedLimit25;485;218;504;251;0,0;vid1/vid_cmp1.avi;4701;speedLimit_1323813035.avi;7
speedLimit_1323813035.avi_image2.png;schoolSpeedLimit25;500;207;520;243;0,0;vid1/vid_cmp1.avi;4706;speedLimit_1323813035.avi;12
speedLimit_1323813035.avi_image3.png;schoolSpeedLimit25;520;197;543;238;0,0;vid1/vid_cmp1.avi;4711;speedLimit_1323813035.avi;17
speedLimit_1323813035.avi_image4.png;schoolSpeedLimit25;549;183;577;233;0,0;vid1/vid_cmp1.avi;4716;speedLimit_1323813035.avi;22
speedLimit_1323813035.avi_image5.png;schoolSpeedLimit25;592;166;626;226;0,0;vid1/vid_cmp1.avi;4721;speedLimit_1323813035.avi;27
speedLimit_1323813042.avi_image2.png;schoolSpeedLimit25;537;195;568;241;0,0;vid1/vid_cmp1.avi;4840;speedLimit_1323813042.avi;12
speedLimit_1323813042.avi_image3.png;schoolSpeedLimit25;571;181;610;239;0,0;vid1/vid_cmp1.avi;4845;speedLimit_1323813042.avi;17
speedLimit_1323813042.avi_image4.png;schoolSpeedLimit25;621;160;671;230;0,0;vid1/vid_cmp1.avi;4850;speedLimit_1323813042.avi;22
speedLimit_1323813042.avi_image4.png;school;441;241;454;252;0,0;vid1/vid_cmp1.avi;4850;speedLimit_1323813042.avi;22
speedLimit_1323813042.avi_image5.png;school;444;238;457;249;0,0;vid1/vid_cmp1.avi;4855;speedLimit_1323813042.avi;27
speedLimit_1323813042.avi_image6.png;school;448;238;461;249;0,0;vid1/vid_cmp1.avi;4860;speedLimit_1323813042.avi;32
speedLimit_1323813042.avi_image7.png;school;453;237;467;249;0,0;vid1/vid_cmp1.avi;4865;speedLimit_1323813042.avi;37
school_1323813060.avi_image0.png;school;605;174;642;209;0,0;vid1/vid_cmp1.avi;4911;school_1323813060.avi;2
school_1323813072.avi_image5.png;school;577;228;596;244;0,0;vid1/vid_cmp1.avi;5124;school_1323813072.avi;27
school_1323813072.avi_image6.png;school;591;226;609;243;0,0;vid1/vid_cmp1.avi;5129;school_1323813072.avi;32
school_1323813072.avi_image7.png;school;605;224;624;243;0,0;vid1/vid_cmp1.avi;5134;school_1323813072.avi;37
school_1323813072.avi_image8.png;school;620;222;641;243;0,0;vid1/vid_cmp1.avi;5139;school_1323813072.avi;42
school_1323813072.avi_image9.png;school;637;217;659;240;0,0;vid1/vid_cmp1.avi;5144;school_1323813072.avi;47
school_1323813072.avi_image10.png;school;655;212;680;237;0,0;vid1/vid_cmp1.avi;5149;school_1323813072.avi;52
school_1323813072.avi_image11.png;school;677;209;703;235;0,0;vid1/vid_cmp1.avi;5154;school_1323813072.avi;57
keepRight_1323813131.avi_image0.png;keepRight;83;190;107;218;0,0;vid1/vid_cmp1.avi;6502;keepRight_1323813131.avi;2
keepRight_1323813131.avi_image1.png;keepRight;69;182;94;211;0,0;vid1/vid_cmp1.avi;6507;keepRight_1323813131.avi;7
keepRight_1323813131.avi_image2.png;keepRight;48;169;74;203;0,0;vid1/vid_cmp1.avi;6512;keepRight_1323813131.avi;12
keepRight_1323813131.avi_image3.png;keepRight;13;154;46;192;0,0;vid1/vid_cmp1.avi;6517;keepRight_1323813131.avi;17
speedLimit_1323813207.avi_image6.png;speedLimit50;526;211;556;244;0,0;vid1/vid_cmp1.avi;7705;speedLimit_1323813207.avi;32
speedLimit_1323813207.avi_image7.png;speedLimit50;566;201;601;241;0,0;vid1/vid_cmp1.avi;7710;speedLimit_1323813207.avi;37
speedLimit_1323813207.avi_image8.png;speedLimit50;626;185;668;234;0,0;vid1/vid_cmp1.avi;7715;speedLimit_1323813207.avi;42
signalAhead_1323813244.avi_image0.png;signalAhead;537;177;602;240;0,0;vid1/vid_cmp1.avi;8166;signalAhead_1323813244.avi;2
signalAhead_1323813244.avi_image1.png;signalAhead;587;158;659;235;0,0;vid1/vid_cmp1.avi;8171;signalAhead_1323813244.avi;7
yieldAhead_1323813338.avi_image0.png;yieldAhead;515;193;566;239;0,0;vid1/vid_cmp1.avi;8540;yieldAhead_1323813338.avi;2
yieldAhead_1323813338.avi_image1.png;yieldAhead;523;186;578;238;0,0;vid1/vid_cmp1.avi;8545;yieldAhead_1323813338.avi;7
yieldAhead_1323813338.avi_image2.png;yieldAhead;538;178;598;232;0,0;vid1/vid_cmp1.avi;8550;yieldAhead_1323813338.avi;12
yieldAhead_1323813338.avi_image3.png;yieldAhead;554;170;619;231;0,0;vid1/vid_cmp1.avi;8555;yieldAhead_1323813338.avi;17
yieldAhead_1323813338.avi_image4.png;yieldAhead;574;158;641;224;0,0;vid1/vid_cmp1.avi;8560;yieldAhead_1323813338.avi;22
yieldAhead_1323813338.avi_image5.png;yieldAhead;597;143;679;219;0,0;vid1/vid_cmp1.avi;8565;yieldAhead_1323813338.avi;27
yield_1323813350.avi_image2.png;yield;562;205;592;229;0,0;vid1/vid_cmp1.avi;8764;yield_1323813350.avi;12
yield_1323813350.avi_image2.png;merge;344;220;373;253;0,0;vid1/vid_cmp1.avi;8764;yield_1323813350.avi;12
yield_1323813350.avi_image3.png;yield;571;198;604;225;0,0;vid1/vid_cmp1.avi;8769;yield_1323813350.avi;17
yield_1323813350.avi_image3.png;merge;326;216;355;249;0,0;vid1/vid_cmp1.avi;8769;yield_1323813350.avi;17
yield_1323813350.avi_image4.png;yield;581;188;617;216;0,0;vid1/vid_cmp1.avi;8774;yield_1323813350.avi;22
yield_1323813350.avi_image4.png;merge;307;210;338;245;0,0;vid1/vid_cmp1.avi;8774;yield_1323813350.avi;22
yield_1323813350.avi_image4.png;yield;184;210;219;234;0,1;vid1/vid_cmp1.avi;8774;yield_1323813350.avi;22
yield_1323813350.avi_image5.png;yield;598;175;638;205;0,0;vid1/vid_cmp1.avi;8779;yield_1323813350.avi;27
yield_1323813350.avi_image5.png;merge;284;206;320;246;0,0;vid1/vid_cmp1.avi;8779;yield_1323813350.avi;27
yield_1323813350.avi_image5.png;yield;141;202;178;230;0,1;vid1/vid_cmp1.avi;8779;yield_1323813350.avi;27
yield_1323813350.avi_image6.png;yield;622;155;669;194;0,0;vid1/vid_cmp1.avi;8784;yield_1323813350.avi;32
yield_1323813350.avi_image6.png;merge;260;200;299;242;0,0;vid1/vid_cmp1.avi;8784;yield_1323813350.avi;32
yield_1323813350.avi_image6.png;yield;85;194;129;225;0,1;vid1/vid_cmp1.avi;8784;yield_1323813350.avi;32
yield_1323813350.avi_image7.png;merge;233;190;275;238;0,0;vid1/vid_cmp1.avi;8789;yield_1323813350.avi;37
yield_1323813350.avi_image7.png;yield;14;178;63;216;0,1;vid1/vid_cmp1.avi;8789;yield_1323813350.avi;37
yield_1323813350.avi_image8.png;merge;199;180;246;233;0,0;vid1/vid_cmp1.avi;8794;yield_1323813350.avi;42
addedLane_1323813414.avi_image0.png;addedLane;237;202;277;241;0,0;vid1/vid_cmp1.avi;9197;addedLane_1323813414.avi;2
addedLane_1323813414.avi_image1.png;addedLane;212;192;260;237;0,0;vid1/vid_cmp1.avi;9202;addedLane_1323813414.avi;7
addedLane_1323813414.avi_image2.png;addedLane;178;172;234;227;0,0;vid1/vid_cmp1.avi;9207;addedLane_1323813414.avi;12
addedLane_1323813414.avi_image3.png;addedLane;133;152;197;216;0,0;vid1/vid_cmp1.avi;9212;addedLane_1323813414.avi;17
addedLane_1323813414.avi_image4.png;addedLane;63;132;133;207;0,0;vid1/vid_cmp1.avi;9217;addedLane_1323813414.avi;22
rightLaneEnds_1323813663.avi_image4.png;laneEnds;498;192;550;238;0,0;vid1/vid_cmp1.avi;11399;rightLaneEnds_1323813663.avi;22
rightLaneEnds_1323813663.avi_image5.png;laneEnds;558;162;630;228;0,0;vid1/vid_cmp1.avi;11404;rightLaneEnds_1323813663.avi;27
rightLaneEnds_1323813709.avi_image2.png;laneEnds;524;207;569;247;0,0;vid1/vid_cmp1.avi;12406;rightLaneEnds_1323813709.avi;12
rightLaneEnds_1323813709.avi_image3.png;laneEnds;593;183;664;238;0,0;vid1/vid_cmp1.avi;12411;rightLaneEnds_1323813709.avi;17
exitSpeedAdvisory_1323814580.avi_image4.png;rampSpeedAdvisoryUrdbl;457;217;487;250;0,0;vid1/vid_cmp1.avi;26436;exitSpeedAdvisory_1323814580.avi;22
exitSpeedAdvisory_1323814580.avi_image5.png;rampSpeedAdvisoryUrdbl;476;207;507;244;0,0;vid1/vid_cmp1.avi;26441;exitSpeedAdvisory_1323814580.avi;27
exitSpeedAdvisory_1323814580.avi_image6.png;rampSpeedAdvisoryUrdbl;499;193;538;239;0,0;vid1/vid_cmp1.avi;26446;exitSpeedAdvisory_1323814580.avi;32
exitSpeedAdvisory_1323814580.avi_image7.png;rampSpeedAdvisory20;534;175;583;231;0,0;vid1/vid_cmp1.avi;26451;exitSpeedAdvisory_1323814580.avi;37
exitSpeedAdvisory_1323814580.avi_image8.png;rampSpeedAdvisory20;594;145;653;214;0,0;vid1/vid_cmp1.avi;26456;exitSpeedAdvisory_1323814580.avi;42
signalAhead_1323814588.avi_image0.png;signalAhead;489;204;533;247;0,0;vid1/vid_cmp1.avi;26526;signalAhead_1323814588.avi;2
signalAhead_1323814588.avi_image1.png;signalAhead;512;189;566;242;0,0;vid1/vid_cmp1.avi;26531;signalAhead_1323814588.avi;7
signalAhead_1323814588.avi_image2.png;signalAhead;546;169;610;232;0,0;vid1/vid_cmp1.avi;26536;signalAhead_1323814588.avi;12
signalAhead_1323814588.avi_image3.png;signalAhead;606;139;686;220;0,0;vid1/vid_cmp1.avi;26541;signalAhead_1323814588.avi;17
signalAhead_1323814718.avi_image1.png;signalAhead;554;201;608;247;0,0;vid1/vid_cmp1.avi;29474;signalAhead_1323814718.avi;7
signalAhead_1323814718.avi_image2.png;signalAhead;615;186;680;247;0,0;vid1/vid_cmp1.avi;29479;signalAhead_1323814718.avi;12
